,0,0.5,2,4
3298.15836,0.00431,0.00293,0.00099,0.00154
3296.22961,0.0043,0.00295,0.001,0.0015
3294.30087,0.00428,0.00294,0.00098,0.00149
3292.37212,0.00428,0.00292,0.00096,0.0015
3290.44337,0.00434,0.0029,0.00099,0.00153
3288.51462,0.0044,0.00292,0.00104,0.00158
3286.58587,0.00442,0.00295,0.00108,0.00162
3284.65713,0.00437,0.00295,0.00106,0.00161
3282.72838,0.0043,0.00292,0.001,0.00157
3280.79963,0.00426,0.00289,0.00095,0.00152
3278.87088,0.00424,0.00286,0.00095,0.00148
3276.94214,0.00423,0.00282,0.00096,0.00147
3275.01339,0.00421,0.00278,0.00095,0.0015
3273.08464,0.00418,0.0028,0.00095,0.00153
3271.15589,0.00422,0.00287,0.00099,0.00155
3269.22715,0.00431,0.00292,0.00104,0.00157
3267.2984,0.00438,0.00293,0.00106,0.00157
3265.36965,0.00439,0.00294,0.00107,0.00156
3263.4409,0.00434,0.00291,0.00106,0.00157
3261.51216,0.00428,0.00286,0.00101,0.00159
3259.58341,0.00426,0.00284,0.00097,0.00161
3257.65466,0.00426,0.00284,0.00096,0.00158
3255.72591,0.00424,0.00283,0.00098,0.00154
3253.79717,0.00427,0.00283,0.00102,0.00153
3251.86842,0.00432,0.00288,0.00105,0.00155
3249.93967,0.00432,0.0029,0.00104,0.00155
3248.01092,0.00427,0.00283,0.00098,0.0015
3246.08218,0.00421,0.00273,0.00093,0.00145
3244.15343,0.00421,0.0027,0.00092,0.00145
3242.22468,0.00428,0.00274,0.00096,0.00151
3240.29593,0.00433,0.00278,0.00097,0.00155
3238.36719,0.00431,0.00277,0.00094,0.00154
3236.43844,0.00428,0.00277,0.00092,0.00152
3234.50969,0.00428,0.00279,0.00096,0.0015
3232.58094,0.00431,0.00279,0.00101,0.00148
3230.6522,0.0043,0.00277,0.00101,0.00144
3228.72345,0.00424,0.00274,0.00097,0.00143
3226.7947,0.00422,0.00274,0.00095,0.00145
3224.86595,0.00425,0.00274,0.00098,0.00148
